Timestamp,CleanedTImestamp,Team,Player Number,Event Type,Possession Start?,Possession Start?,Possession End?,Shot Attempt?,Shot Outcome,Kick-out?,Kick-out Winner (Team),Turnover?,Score Value,Galway Goals,Galway Points,Cork Goals,Cork Points,Total Score for Cork,Total Score for Galway,Total Possession Count for Cork(auto-calculated),Total Possession Count for Galway(auto-calculated),Productivity for Cork (auto-calculated),Productivity for Galway (auto-calculated),Notes
13:14,00:13:14,Cork ,11,Foul,No,0,No,No,N/A,No,N/A,,"0--03,1--02",0,0,0,0,3,,10,0,3,,Player 11 fouled by Galway
13:06,00:13:06,Cork ,8,Foul,No,0,Yes,No,N/A,No,N/A,,"0--03,1--02",0,0,0,1,3,,10,0,3,,"Player 8 fouled, free kick awarded"
12:34,00:12:34,Cork ,14,Free Kick,No,0,No,Yes,Successful,No,N/A,,"0--04,1--02",0,0,0,0,4,,10,0,3,,Successful free kick
12:26,00:12:26,Galway,Goal Keeper,Kick Out,Yes,1,No,No,N/A,Yes,Galway,,"0--04,1--02",0,0,0,0,4,,10,1,3,,Galway Keeper Kick Out
11:49,00:11:49,Galway,4,Pass,No,0,Yes,No,N/A,No,N/A,Yes,"0--04,1--02",0,0,0,0,4,,10,0,3,,Lost Possession to Cork
11:49,00:11:49,Cork,3,Interception,Yes,1,No,No,N/A,No,N/A,,"0--04,1--02",0,0,0,0,4,,10,0,3,,Ball changed to cork
11:28,00:11:28,Cork ,15,Pass,No,0,Yes,No,N/A,No,N/A,,"0--04,1--02",0,0,0,0,4,,10,0,3,,Lost Possession to Galway
11:28,00:11:28,Galway,11,Interception,Yes,1,No,No,N/A,No,N/A,Yes,"0--04,1--02",0,0,0,0,4,,10,1,3,,Ball intercepted from Cork
11:01,00:11:01,Galway,5,Pass,No,0,Yes,No,N/A,No,N/A,,"0--04,1--02",0,0,0,0,4,,10,0,3,,Lost Possession to Cork
11:01,00:11:01,Cork,10,Interception,Yes,1,No,No,N/A,No,N/A,Yes,"0--04,1--02",0,0,0,0,4,,10,0,3,,Tackled and gained possession
10:59,00:10:59,Galway,14,Foul,No,0,No,No,N/A,No,N/A,,"0--04,1--02",0,0,0,0,4,,10,0,3,,Player 14 intentional foul.
10:21,00:10:21,Cork,14,Foul,No,0,No,No,N/A,No,N/A,,"0--04,1--02",0,0,0,0,4,,10,0,3,,Cork Player 14 fouled by galway
09:53,00:09:53,Cork,14,Free Kick,No,0,Yes,Yes,Successful,No,N/A,,"0--05,1--02",0,0,0,1,5,,10,0,4,,Successful free kick
09:40,00:09:40,Galway,Goal Keeper,Kick Out,Yes,1,No,No,N/A,Yes,Galway,,"0--05,1--02",0,0,0,0,5,,11,1,3.636363636,,Galway Keeper Kick Out
08:59,00:08:59,Cork,10,Foul,No,0,No,No,N/A,No,N/A,,"0--05,1--02",0,0,0,0,5,,11,0,3.636363636,,Player 10 fouled by Cork
08:22,00:08:22,Galway,15,Shot Attempt,No,0,Yes,Yes,Unsuccessful wide,No,N/A,,"0--05,1--02",0,0,0,0,5,,11,0,3.636363636,,Shot went wide
08:10,00:08:10,Cork,Goal Keeper,Kick Out,Yes,1,No,No,N/A,Yes,Cork,,"0--05,1--02",0,0,0,0,5,,11,0,3.636363636,,Cork Keeper Kick out
07:15,00:07:15,Cork,13,Shot Attempt,No,0,Yes,Yes,Unsuccessful,No,N/A,,"0--05,1--02",0,0,0,0,5,,11,0,3.636363636,,Player 13 Shot unsuccessful
06:59,00:06:59,Galway,Goal Keeper,Kick Out,Yes,1,No,No,N/A,Yes,Galway,,"0--05,1--02",0,0,0,0,5,,12,1,3.333333333,,Galway Keeper Kick Out
06:13,00:06:13,Cork ,"15,17",Substitution,No,0,No,No,N/A,No,N/A,,"0--05,1--02",0,0,0,0,5,,12,0,3.333333333,,"Player 15 out due to injury, player 17 in"
06:05,00:06:05,Galway,9,Interception,No,0,Yes,No,N/A,No,N/A,Yes,"0--05,1--02",0,0,0,0,5,,12,0,3.333333333,,Player 9 intercepted
05:46,00:05:46,Cork,7,Kick Out,Yes,1,No,No,N/A,Yes,Cork,,"0--05,1--02",0,0,0,0,5,,12,0,3.333333333,,Player 7 Kick Out
05:02,00:05:02,Cork,9,Pass,No,0,Yes,No,N/A,No,N/A,,"0--05,1--02",0,0,0,0,5,,12,0,3.333333333,,Lost Possession to Galway
05:02,00:05:02,Galway,4,Interception,Yes,1,No,No,N/A,No,N/A,Yes,"0--05,1--02",0,0,0,0,5,,13,1,3.076923077,,Player 4 interception
04:39,00:04:39,Cork,8,Foul,No,0,No,No,N/A,No,N/A,,"0--05,1--02",0,0,0,0,5,,13,0,3.076923077,,Player 8 foul
04:20,00:04:20,Galway,15,Free Kick,No,0,Yes,Yes,Successful,No,N/A,,"0--05,1--03",0,1,0,0,5,,13,0,3.076923077,,Successful free kick
04:06,00:04:06,Cork,Goal Keeper,Kick Out,Yes,1,No,No,N/A,Yes,N/A,,"0--05,1--03",0,0,0,0,5,,13,0,3.076923077,,Cork Keeper Kick out
03:58,00:03:58,Cork,4,Foul,No,0,Yes,No,N/A,No,N/A,,"0--05,1--03",0,0,0,0,5,,13,0,3.076923077,,Cork player foul
03:39,00:03:39,Galway,9,Pass,Yes,1,No,No,N/A,No,N/A,Yes,"0--05,1--03",0,0,0,0,5,,14,1,2.857142857,,Possession gained by galway
03:09,00:03:09,Galway,9,Shot Attempt,No,0,Yes,Yes,Successful,No,N/A,,"0--05,2--03",1,0,0,0,5,,14,0,2.857142857,,Successful goal by player 9
02:46,00:02:46,Cork,Goal Keeper,Kick Out,Yes,1,No,No,N/A,Yes,Cork,,"0--05,2--03",0,0,0,0,5,,14,0,2.857142857,,Cork Keeper Kick out
01:48,00:01:48,Cork,13,Pass,No,0,Yes,No,N/A,No,N/A,,"0--05,2--03",0,0,0,0,5,,14,0,2.857142857,,Lost Possession to Galway
01:48,00:01:48,Galway ,12,Interception,Yes,1,No,No,N/A,No,N/A,Yes,"0--05,2--03",0,0,0,0,5,,15,0,2.666666667,,Possession gained by galway
00:14,00:00:14,Cork,8,Foul,No,0,No,No,N/A,No,N/A,,"0--05,2--03",0,0,0,0,5,,15,0,2.666666667,,Player 8 foul
00:03,00:00:03,Galway,15,Free Kick,No,0,Yes,Yes ,Successful,No,N/A,,"0--05,2--04",0,1,0,0,5,,15,0,2.666666667,,Successful free kick
Half Time,00:00:00,,,,,0,,,,,,,"0--05,2--04",0,0,0,0,5,,15,0,2.666666667,,
27:39:00,00:27:39,Galway,13,Shot,No,0,Yes,Yes,Missed Goal,No,N/A,,"0--05,2--04",0,0,0,0,5,,15,0,2.666666667,,Galway attempted goal shot; missed net
27:37:00,00:27:37,Cork,9,Turnover,Yes,1,No,No,N/A,No,N/A,Yes,"0--05,2--04",0,0,0,0,5,,15,0,2.666666667,,Corkgets the bouncing ball straight away
